system   D            wsystem.c:583  maybe_parent_dir                 [   0.00262] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.17193] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17255] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17318] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17385] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17444] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17499] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17564] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17641] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17698] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17762] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.17858] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17917] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17990] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18054] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18165] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18225] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18281] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18355] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18418] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18481] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18544] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18607] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18667] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18728] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18786] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18851] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18912] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18977] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19037] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.19092] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19147] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19210] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19272] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19327] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19388] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19496] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19617] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19682] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19746] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19878] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20006] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20074] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20133] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20205] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20256] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20319] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.20385] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20446] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.20510] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20584] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20642] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20698] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20762] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20815] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.20877] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.20933] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.20988] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21052] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21108] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21167] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
