system   D            wsystem.c:583  maybe_parent_dir                 [   0.00266] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.10112] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10182] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10243] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10310] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10375] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10441] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.10502] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10567] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.10629] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10697] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.10760] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10826] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10890] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10955] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11021] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11082] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11145] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11206] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11329] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11392] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11456] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11511] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11573] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11629] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11693] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11756] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11811] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11878] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11950] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.12003] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12073] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12130] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12193] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12260] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12325] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12391] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12510] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12575] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12631] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12759] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12821] Single Buffer requirement not met.
